show,album_id,album_name,total_tracks
Beetlejuice,3Nkueud4hqLWhSzOepKi7p,Beetlejuice (Original Broadway Cast Recording),18
"Bring in 'da Noise, Bring in 'da Funk",1t5oVsxUGWtt7hUl7RGzrc,"Bring In 'Da Noise, Bring In 'Da Funk",25
Charlie and the Chocolate Factory,0R70199QRbxxxdl1ApnbEx,Charlie and the Chocolate Factory (Original Broadway Cast Recording),19
Cinderella,7pZhd8nyjuy8tMbmQCJ4uc,Cinderella (Original Television Cast Recording),19
Cirque du Soleil Paramour,5meFnukTwGsP7sGuJuKb10,Cirque Du Soleil Paramour (Original Broadway Cast Recording),18
City of Angels,5lQ3Ub1Uez0Qelrk5GTup0,City of Angels (Original Broadway Cast Recording),21
Crazy for You,5OgAdJnU464hjUfpWRWuAe,Crazy for You (Original London Cast Recording),21
Curtains,2jWGFpmXXiseZZknfUlkRn,Curtains Original Broadway Cast Recording,22
Dirty Rotten Scoundrels,7281FIYzfTKPQVyh2utJhS,Dirty Rotten Scoundrels (Original Broadway Cast Recording),23
Evita,7N3G5LnFCtpF0A4Sdt6n8F,Evita (Original London Cast Recording),15
Finding Neverland,3EO8LoU4K02HxE2RQ6eA9w,Finding Neverland (Original Broadway Cast Recording),21
Fosse,4l0jCkNmqj0wijg9LlCKzf,Fosse (Original Broadway Cast Recording),21
Grand Hotel,0hone2kiR9hYgIPIT51rQy,Grand Hotel: The Musical (Original Broadway Cast Recording),23
Guys and Dolls,6sr3CzxZytHde25OwaQSY6,Guys and Dolls,12
Gypsy,24hgppcPnYdswB9l2sqzih,Gypsy (Original Broadway Cast Recording),20
Hadestown,1J1yxODbNlqKbwRqJxYJUP,Hadestown (Original Broadway Cast Recording),40
Hair,7FInI6k1i8JlgvMpMpk8zP,Hair (Original Broadway Cast Recording),32
Hedwig and the Angry Inch,1nDUzE7LFkfVBRAf5ZSfbr,Hedwig And The Angry Inch (Original Cast Recording),12
How to Succeed in Business Without Really Trying,0kZiFDw7DHor5v5n8ukH9m,How to Succeed in Business Without Really Trying (Original Broadway Cast Recording),17
Into the Woods,728ZIip1mzws5PJrxbQo4T,Into the Woods (Original Broadway Cast Recording),22
Jekyll & Hyde,7tGzFA6oydPdsvLHlb4XuJ,Fractured: The Mysterious Case of Dr. Jekyll and Mr. Hyde (Original Cast Recording),16
Jerome Robbins' Broadway,1qsB2zzx8OgA0wdL6VIQY1,Jerome Robbins' Broadway (Original Broadway Cast Recording),22
"Kiss Me, Kate",1GA4QFvo7fbJIboF2rQy4G,"Kiss Me, Kate (Original Broadway Cast Recording)",19
Kiss of the Spider Woman,6onvLvWd7fPGuYKK5Hw8mi,Kiss Of The Spider Woman Cast Recording,30
La Cage aux Folles,53ZWfmtal934KSYcQ8lFLT,La Cage Aux Folles (Original Broadway Cast),15
Legally Blonde,7os43c6BUhMJkDUaEtDufk,Legally Blonde The Musical (Original Broadway Cast Recording),18
Me and My Girl,0wahGTdOv9ujEmxphEvHsE,"Me and My Girl (From ""Me and My Girl"") [Original Musical Soundtrack (1993 London studio cast)]",12
Moulin Rouge! The Musical!,1catLRW8LZfugEmfjnTWCk,Moulin Rouge! The Musical (Original Broadway Cast Recording),19
Movin' Out,6Q3RFWyuYgidXz7D9XoGKI,Movin' Out (Original Broadway Cast Recording),26
My Fair Lady,0dDqZwWFbOVYsKTgYKofLB,My Fair Lady (Original London Cast Recording),17
"Natasha, Pierre & The Great Comet of 1812",3Ohwm7WsUS6AJd56VnNlJX,"Natasha, Pierre & the Great Comet of 1812 (Original Broadway Cast Recording)",27
Nice Work If You Can Get It,4cFwFSQpmvLr4UwmU3dXbw,Nice Work If You Can Get It (Original Broadway Cast Recording),28
On Your Feet!,02VDZZwj2WqxlvBMzOhjzT,On Your Feet (Original Broadway Cast Recording),23
Pretty Woman: The Musical,2h4ByyPFofhOx5nDcwwM0K,Pretty Woman: The Musical (Original Broadway Cast Recording),20
Priscilla Queen of the Desert,1Nmi3oTecQvCYaVlB0k5Yi,Priscilla: Queen Of The Desert (Original Broadway Cast Recording),23
"Promises, Promises",74GlYR6Z7I1sapfNoJr0ql,Hadestown: Promises (Live),1
Ragtime,1ITaTY1cwy5bnG3Dyoucr1,Ragtime: The Musical (Original Broadway Cast Recording)l,38
Shrek the Musical,342EkhxtKOgKvJczFw6MY4,Shrek The Musical (Original Cast Recording),20
Sister Act,3URIUGhrXekdoDNy4Yh0sD,Sister Act: A Divine Musical Comedy (Original London Cast Recording),20
Something Rotten!,0kOBkjePPpXZ4sZGspF0VH,Something Rotten! (Original Broadway Cast Recording),18
South Pacific,6wPpi9Gv9lGtb15ptJKkZI,South Pacific (Original Broadway Cast Recording),20
Spring Awakening,3lfqXQ7wZCMbnnlRpMeRX2,Spring Awakening (In German Language),16
Starlight Express,6KMPEaq01lg1xoGucSWWKT,Starlight Express,26
Tarzan,6BKNI3Izd1ySivgwb2vy1a,Tarzan: The Broadway Musical,19
The Addams Family,11oSgc7tukNbysMv0nOpW3,The Addams Family (Original Cast Recording),21
The Band's Visit,2RLYvCLS2sE77j6Vl8FVfc,The Band's Visit (Original Broadway Cast Recording),18
The Drowsy Chaperone,1xV9B2D7B2rW9HaGcYWlkH,The Drowsy Chaperone (Original Broadway Cast Recording),22
The Full Monty,1ryQjSxXsdtphq71mCKf9z,The Full Monty (Original Broadway Cast Recording),15
The Little Mermaid,3ULJeOMgroG27dpn27MDfS,The Little Mermaid: Original Broadway Cast Recording,29
The Music Man,4O0zo2ULebkZ7PKZpFdPLJ,The Music Man (Original Broadway Cast),18
The Scarlet Pimpernel,4sdRox4FiY3DakCAn2LntS,The Scarlet Pimpernel Original Broadway Cast Recording,25
The Who's Tommy,2TQsCLDUh4uTWUbd0G5qHh,The Who's Tommy (Original Broadway Cast Recording),35
The Will Rogers Follies,3NNKk3UfSueZOh2zvcbcvu,The Will Rogers Follies (Original Broadway Cast Recording),20
Thoroughly Modern Millie,6QtfyhxYrZIZMwTYjtcrH2,Thoroughly Modern Millie (Original Broadway Cast Recording),21
Titanic,6C4TnyShiHnUHzJojd2gCV,Titanic: The Musical (Original Broadway Cast Recording),23
